Product Line,Product Category,Date,Net Total Revenue,Net Product Revenue,Net Shipping Revenue,Cost of Goods Sold,Shipping Cost,Paid Order Count
hardcover photo books,books,2018-01-01,"$5,778","$5,106",$672,"$1,375",$491,80
layflat photo albums,books,2018-01-01,"$4,213","$3,830",$383,"$1,429",$292,27
softcover photo books,books,2018-01-01,"$3,261","$2,675",$586,$862,$292,100
everyday print set,prints,2018-01-01,"$1,908","$1,356",$552,$564,$290,126
wedding guest books,books,2018-01-01,"$1,812","$1,650",$162,$601,$101,13
holiday cards,cards,2018-01-01,"$1,549","$1,308",$241,$266,$148,27
baby book,books,2018-01-01,"$1,381","$1,219",$161,$507,$168,19
brass easel calendars,calendars,2018-01-01,"$1,171",$949,$222,$410,$137,33
wood calendars,calendars,2018-01-01,"$1,015",$803,$212,$227,$115,48
large format prints,prints,2018-01-01,$823,$661,$162,$189,$118,25
modern metal frames,frames,2018-01-01,$603,$539,$65,$223,$41,4
calendar refills,calendars,2018-01-01,$574,$405,$168,$120,$82,42
save the dates,cards,2018-01-01,$559,$523,$36,$106,$28,6
gallery frames,frames,2018-01-01,$472,$395,$77,$170,$56,9
design your own cards,cards,2018-01-01,$446,$380,$66,$98,$46,9
solidwool calendars,calendars,2018-01-01,$423,$372,$50,$173,$30,5
volumes subscription series,books,2018-01-01,$367,$367,$0,$147,$23,15
thank you cards,cards,2018-01-01,$289,$236,$53,$53,$40,12
wooden tabletop frames,frames,2018-01-01,$283,$247,$36,$107,$28,5
wood block and prints,photo holders,2018-01-01,$268,$201,$67,$54,$44,15
brass & wood display box,photo holders,2018-01-01,$196,$168,$29,$103,$25,5
signature prints,prints,2018-01-01,$178,$145,$33,$61,$20,7
float frames,frames,2018-01-01,$163,$143,$20,$67,$15,2
wooden hanger,photo holders,2018-01-01,$122,$109,$13,$49,$27,2
wooden photo ledge,photo holders,2018-01-01,$107,$94,$13,$34,$7,2
deep set frames,frames,2018-01-01,$98,$84,$14,$37,$10,2
birth announcements,cards,2018-01-01,$94,$85,$9,$17,$6,1
metal tabletop frames,frames,2018-01-01,$79,$69,$10,$27,$12,2
brass easel + prints,photo holders,2018-01-01,$29,$25,$4,$11,$5,1
walnut print block,photo holders,2018-01-01,$25,$18,$6,$6,$2,2
